Date,Open,High,Low,Close,Adj Close,Volume
1991-12-01,1375.400024,1431.500000,1273.199951,1431.500000,1431.500000,0
1992-01-01,1444.900024,1623.500000,1444.900024,1623.500000,1623.500000,0
1992-02-01,1624.500000,1860.599976,1616.099976,1860.599976,1860.599976,0
1992-03-01,1873.900024,1907.300049,1734.800049,1875.699951,1875.699951,0
1992-04-01,1852.500000,1897.099976,1741.400024,1838.300049,1838.300049,0
1992-05-01,1827.599976,1892.300049,1785.699951,1892.300049,1892.300049,0
1992-06-01,1907.400024,1907.400024,1562.699951,1599.300049,1599.300049,0
1992-07-01,1658.900024,1689.199951,1466.599976,1569.699951,1569.699951,0
1992-08-01,1557.099976,1560.400024,1353.099976,1400.400024,1400.400024,0
1992-09-01,1384.099976,1395.300049,1252.099976,1327.099976,1327.099976,0
1992-10-01,1359.099976,1597.300049,1359.099976,1597.300049,1597.300049,0
1992-11-01,1558.400024,1727.199951,1547.800049,1716.000000,1716.000000,0
1992-12-01,1689.099976,1761.099976,1688.000000,1759.400024,1759.400024,0
1993-01-01,1776.699951,1836.099976,1653.199951,1653.199951,1653.199951,0
1993-02-01,1664.300049,1664.300049,1504.199951,1546.699951,1546.699951,0
1993-03-01,1563.599976,1783.300049,1563.599976,1771.699951,1771.699951,0
1993-04-01,1771.699951,1799.599976,1610.300049,1662.800049,1662.800049,0
1993-05-01,1662.099976,1671.400024,1589.400024,1613.000000,1613.000000,0
1993-06-01,1613.000000,1704.400024,1553.000000,1666.300049,1666.300049,0
1993-07-01,1670.300049,1784.699951,1641.199951,1773.000000,1773.000000,0
1993-08-01,1779.800049,1962.099976,1765.800049,1902.800049,1902.800049,0
1993-09-01,1905.599976,1953.099976,1773.699951,1834.400024,1834.400024,0
1993-10-01,1839.199951,2039.099976,1826.199951,2016.400024,2016.400024,0
1993-11-01,2020.300049,2272.399902,1926.599976,2212.800049,2212.800049,0
1993-12-01,2215.699951,2610.399902,2215.699951,2603.000000,2603.000000,0
1994-01-01,2602.600098,2790.899902,2444.699951,2783.300049,2783.300049,0
1994-02-01,2781.100098,2895.899902,2495.600098,2585.399902,2585.399902,0
1994-03-01,2585.399902,2618.699951,2358.399902,2410.399902,2410.399902,0
1994-04-01,2400.399902,2400.399902,1935.000000,2295.500000,2295.500000,0
1994-05-01,2294.100098,2498.699951,2146.100098,2477.699951,2477.699951,0
