,,Q1 1993,Q2 1993,Q3 1993,Q4 1993,Q1 1994,Q2 1994,Q3 1994,Q4 1994,Q1 1995,Q2 1995,Q3 1995,Q4 1995,Q1 1996,Q2 1996,Q3 1996,Q4 1996,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Mexico,"National Accounts, Expenditure, Gross Domestic Product, Exports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency","357,560.80","367,273.20","373,421.60","389,414.60","397,014.20","396,298.70","405,280.90","420,269.00","445,781.60","484,234.40","517,811.10","498,820.70","549,934.90","559,827.70","563,113.30","574,450.90","590,550.00","604,798.10","626,133.90","636,222.00","656,315.40","659,119.30","641,631.30","680,693.90","673,417.30","687,533.60","702,635.70","716,796.30","743,819.70","766,185.20","790,538.80","800,349.30","789,177.70","783,154.50","760,601.00","754,048.50","762,098.80","773,046.50","781,155.90","782,039.50","771,480.70","767,084.80","799,933.80","820,184.40","846,406.00","866,170.40","874,426.10","883,310.00","891,273.80","913,459.90","911,932.70","970,995.20","1,007,175.60","1,002,951.20","982,331.90","983,749.10","992,619.90","1,017,075.50","1,026,386.10","1,017,038.10","1,028,610.20","1,031,004.10","1,012,517.50","943,981.70","865,126.00","841,260.20","893,685.40","977,197.40","1,036,799.20","1,090,279.40","1,113,773.60","1,138,842.60","1,176,535.90","1,174,745.30","1,184,488.00","1,183,605.50","1,251,183.70","1,267,185.50","1,249,388.60","1,255,992.00","1,247,125.20","1,263,484.90","1,291,892.70","1,288,593.70","1,294,498.40","1,341,349.20","1,384,090.30","1,428,077.90","1,447,911.50","1,484,462.90","1,481,734.00","1,498,929.80","1,496,146.10","1,498,721.60","1,563,116.90","1,566,787.80","1,615,035.20","1,575,269.60","1,561,489.70","1,626,360.30","1,660,265.40","1,695,809.80","1,698,629.30","1,700,649.50","1,711,192.80","1,748,215.90","1,746,568.20","1,650,100.20","1,733,910.20","1,233,465.50","1,698,485.90","1,701,135.10","1,654,666.90","1,680,475.70","1,689,969.10","1,778,926.00","1,822,787.70","1,843,196.50","1,875,762.00","1,781,731.90"
Mexico,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","2,516,478.50","2,523,185.10","2,548,959.80","2,582,673.90","2,609,049.20","2,663,879.10","2,684,423.00","2,715,658.30","2,559,375.90","2,434,177.50","2,480,307.60","2,527,834.50","2,595,954.50","2,629,857.90","2,674,191.50","2,754,950.60","2,759,869.70","2,822,979.10","2,876,868.20","2,948,198.00","2,975,306.40","2,996,685.10","3,012,198.40","3,016,220.80","3,046,721.60","3,064,790.60","3,094,735.80","3,123,129.30","3,181,993.20","3,229,870.80","3,262,845.30","3,234,596.60","3,235,551.80","3,218,171.60","3,225,225.60","3,204,642.40","3,183,174.10","3,212,086.10","3,237,300.60","3,244,887.80","3,252,582.30","3,260,201.00","3,258,828.50","3,294,689.60","3,341,097.70","3,392,797.60","3,385,361.90","3,430,301.20","3,435,972.60","3,445,708.30","3,474,720.20","3,532,818.90","3,594,866.90","3,629,943.80","3,639,930.90","3,649,007.30","3,674,730.90","3,702,938.70","3,726,228.00","3,740,877.60","3,734,037.20","3,761,640.10","3,774,079.30","3,712,445.90","3,522,574.80","3,469,911.90","3,584,717.40","3,644,098.30","3,682,516.10","3,722,689.50","3,758,077.80","3,786,957.40","3,815,963.60","3,836,161.80","3,910,775.80","3,936,243.20","3,962,210.90","3,997,185.50","4,018,590.60","4,053,227.70","4,063,688.40","4,042,189.80","4,077,316.80","4,101,442.40","4,129,859.60","4,184,162.80","4,194,451.40","4,241,220.90","4,264,599.90","4,316,337.80","4,366,783.20","4,357,039.00","4,382,440.50","4,401,464.90","4,441,445.30","4,493,943.70","4,515,356.30","4,529,856.80","4,511,044.70","4,576,803.20","4,628,828.50","4,625,689.10","4,638,051.90","4,636,254.50","4,638,614.90","4,619,129.60","4,628,823.40","4,607,595.50","4,561,899.90","3,751,460.80","4,242,295.40","4,425,479.00","4,443,929.40","4,475,675.70","4,424,962.50","4,476,192.00","4,528,582.50","4,577,604.70","4,619,060.70","4,640,091.30"
Mexico,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Gross Fixed Capital Formation, Real, Seasonally Adjusted, Domestic Currency","518,833.30","520,778.80","532,107.20","572,297.80","605,161.00","623,780.90","624,178.80","605,683.20","420,182.60","369,086.90","374,021.80","411,036.50","429,340.70","453,066.30","484,565.70","515,426.40","500,864.50","535,143.80","560,670.80","572,950.30","583,620.20","596,397.60","609,190.40","608,935.30","625,703.40","630,434.50","631,619.80","642,564.80","664,125.20","671,183.00","672,834.20","654,639.60","627,580.90","605,113.50","623,576.70","613,256.30","596,375.10","600,195.00","610,700.10","608,174.80","611,656.30","611,728.20","606,980.60","609,877.90","640,630.50","654,612.80","647,471.30","667,961.90","681,882.40","681,131.30","689,906.60","716,903.60","734,084.40","755,514.50","766,662.30","772,084.20","768,992.00","784,710.30","809,443.50","841,939.20","854,752.10","864,963.00","864,572.90","834,120.10","752,107.70","750,370.90","758,542.10","757,233.80","782,699.80","790,575.90","782,591.70","803,257.10","809,764.90","843,484.50","864,300.70","888,105.30","888,585.60","894,290.10","906,103.80","888,410.80","888,596.80","858,691.80","850,997.80","861,173.50","868,933.20","888,654.40","882,675.40","917,799.90","902,537.30","934,650.00","964,706.80","930,100.30","942,453.30","931,196.50","938,305.10","951,887.90","925,746.20","925,786.40","935,720.80","934,301.30","951,527.40","949,564.00","941,889.20","908,301.90","924,169.50","895,871.80","883,708.00","870,319.60","842,945.60","607,675.00","724,079.20","762,024.30","795,134.90","804,622.80","825,928.50","820,679.20","840,196.60","855,621.90","859,549.50","885,659.20"
Mexico,"National Accounts, Expenditure, Gross Domestic Product, External Balance of Goods and Services, Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency","372,632.00","391,449.30","395,695.00","418,023.30","444,393.50","457,645.60","471,688.80","483,256.60","371,907.50","385,295.40","399,615.60","403,857.80","429,944.00","441,736.90","453,666.20","498,538.00","499,551.30","540,101.00","594,487.90","618,511.10","639,530.70","649,687.50","643,685.40","659,341.20","673,363.90","707,165.10","739,695.70","769,110.70","818,425.30","840,162.50","898,016.80","906,733.90","885,566.20","866,283.80","848,431.50","853,119.40","868,458.70","889,064.60","896,078.40","838,452.60","943,235.40","883,464.40","883,566.70","872,440.40","897,717.60","940,634.90","965,201.80","987,906.60","978,405.60","975,091.50","1,002,322.90","1,055,851.10","1,082,079.60","1,097,499.60","1,102,759.20","1,084,889.60","1,107,044.80","1,140,100.50","1,162,241.70","1,166,646.70","1,177,083.60","1,184,690.50","1,240,105.30","1,109,182.90","966,941.70","896,148.90","1,030,072.10","1,078,398.30","1,121,989.00","1,159,190.80","1,177,424.20","1,192,292.90","1,213,645.90","1,218,306.00","1,245,337.00","1,236,195.30","1,269,837.40","1,285,351.50","1,280,012.00","1,321,465.80","1,320,803.40","1,321,356.90","1,326,090.10","1,318,775.30","1,351,800.30","1,392,601.70","1,406,865.40","1,447,523.50","1,445,628.30","1,482,577.90","1,506,123.60","1,499,725.10","1,487,266.70","1,502,685.60","1,537,823.80","1,548,972.50","1,594,157.60","1,619,520.20","1,620,473.30","1,655,498.00","1,713,619.00","1,710,741.70","1,726,407.70","1,752,655.70","1,722,974.60","1,725,796.50","1,734,003.50","1,675,217.20","1,649,992.30","1,221,871.80","1,425,209.00","1,595,150.00","1,686,681.00","1,682,624.70","1,716,333.00","1,755,828.40","1,796,457.80","1,879,799.00","1,909,721.30","1,860,471.20"
Mexico,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Real, Seasonally Adjusted, Domestic Currency","1,562,821.00","1,577,824.10","1,574,110.90","1,598,525.90","1,606,205.60","1,660,252.00","1,684,663.70","1,695,355.80","1,577,205.70","1,552,315.30","1,564,050.20","1,563,612.90","1,596,424.20","1,607,985.90","1,639,651.80","1,682,476.10","1,696,862.40","1,744,440.20","1,769,724.90","1,814,814.10","1,842,538.60","1,868,570.30","1,881,969.40","1,887,309.20","1,922,893.80","1,945,279.50","1,977,094.80","1,995,173.10","2,039,081.10","2,081,735.30","2,119,173.80","2,142,901.70","2,144,033.70","2,145,671.20","2,152,473.00","2,166,847.00","2,175,771.70","2,195,521.20","2,197,881.80","2,186,487.40","2,226,786.00","2,221,956.30","2,236,452.40","2,267,591.00","2,291,031.20","2,325,717.90","2,359,327.10","2,388,391.00","2,391,256.40","2,393,908.90","2,422,890.60","2,431,829.50","2,481,887.10","2,506,809.40","2,511,241.80","2,530,028.20","2,554,362.30","2,578,770.10","2,571,232.30","2,574,541.90","2,601,563.10","2,623,130.90","2,603,051.00","2,505,858.30","2,397,987.10","2,376,356.10","2,438,734.50","2,487,175.20","2,478,241.40","2,511,467.70","2,515,270.30","2,548,642.90","2,552,734.40","2,592,129.30","2,624,917.80","2,625,543.50","2,648,467.70","2,645,358.80","2,656,208.20","2,671,848.90","2,697,464.30","2,696,027.10","2,706,516.60","2,723,782.60","2,720,736.70","2,776,304.10","2,771,866.40","2,786,065.20","2,796,530.30","2,822,236.00","2,848,104.60","2,886,207.60","2,903,178.50","2,907,652.00","2,951,202.30","2,988,077.10","3,009,099.90","3,034,715.00","3,040,855.90","3,062,261.00","3,109,025.10","3,112,848.70","3,124,309.10","3,112,470.00","3,106,530.00","3,113,366.00","3,143,732.40","3,141,116.20","3,078,057.90","2,440,750.90","2,759,598.60","2,918,849.20","2,965,984.70","3,006,894.80","3,010,283.60","3,082,032.10","3,171,733.10","3,199,451.70","3,207,898.50","3,224,893.90"
Spain,"National Accounts, Expenditure, Gross Domestic Product, Exports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"33,444.85","33,402.84","34,353.72","34,872.12","36,128.50","36,598.21","38,162.00","38,753.91","40,169.72","41,617.03","44,792.35","44,598.55","45,142.72","46,869.76","46,555.67","46,553.76","48,824.02","49,191.58","50,505.24","51,542.04","53,147.83","55,406.64","55,477.29","56,915.06","57,991.00","57,672.13","57,505.06","56,487.35","57,456.37","57,449.69","58,305.09","59,712.31","59,551.92","60,194.43","60,351.96","61,135.76","62,276.62","63,120.57","62,960.18","63,260.91","63,171.17","64,174.55","64,219.42","64,810.38","65,555.04","67,000.45","66,687.31","69,256.39","71,203.97","71,831.20","73,069.44","72,792.58","73,429.36","72,132.88","72,967.29","67,747.97","61,165.36","62,612.67","65,534.99","65,938.83","66,605.20","68,255.87","70,448.80","73,076.12","75,116.30","75,143.04","75,243.28","75,637.57","74,237.03","74,881.45","77,744.58","77,094.43","77,798.04","79,337.96","80,064.48","80,064.48","80,833.01","81,935.69","84,257.50","84,598.33","85,053.72","85,477.60","87,374.58","88,033.32","89,046.25","90,645.36","91,496.95","93,331.87","94,656.03","95,630.78","96,522.46","97,801.75","97,938.27","97,427.51","97,391.23","98,498.68","100,081.56","102,288.81","98,855.73","98,690.57","91,906.51","62,794.06","80,943.76","84,521.00","86,356.87","88,235.71","93,245.95","98,361.20","101,649.17","106,498.06","106,947.72","105,814.50"
Spain,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"176,470.35","177,575.89","178,294.70","179,627.91","180,698.66","182,043.80","183,605.68","184,563.09","186,446.09","188,148.15","190,389.06","192,989.87","194,690.94","196,899.04","198,761.16","200,920.55","202,936.78","205,356.64","208,088.69","210,423.05","213,800.33","216,490.62","218,828.96","221,057.94","223,416.17","225,081.44","227,179.19","228,725.16","229,710.41","231,596.40","233,025.05","234,768.87","236,968.02","238,216.73","239,788.55","241,832.61","243,304.02","245,696.05","248,008.54","249,674.81","252,125.50","254,366.41","256,827.04","259,399.02","262,383.59","264,943.64","267,407.25","269,944.43","272,428.92","274,887.56","276,997.24","278,743.04","279,359.44","279,682.55","279,171.54","274,629.07","267,487.78","267,475.85","268,047.51","267,953.06","267,893.41","268,311.96","268,181.72","268,321.91","267,919.26","267,088.11","265,363.19","263,603.46","261,148.80","258,645.42","257,301.27","255,395.40","254,609.99","254,385.30","254,291.85","254,714.38","255,649.91","256,854.88","258,740.86","260,963.88","263,958.39","266,806.75","269,223.64","271,843.34","273,692.54","274,827.91","277,182.16","278,689.36","280,877.58","283,754.77","285,541.34","287,081.34","288,307.18","289,996.32","291,505.50","293,427.28","295,213.85","296,235.88","297,109.77","297,755.01","281,416.43","231,250.42","269,725.71","269,566.64","268,950.24","272,587.00","281,059.51","287,426.33","287,392.53","293,838.88","294,469.20","295,130.33"
Spain,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Gross Fixed Capital Formation, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"37,990.20","38,337.58","38,394.94","38,399.27","38,705.53","38,906.82","39,628.63","39,615.65","40,561.48","41,018.16","41,502.98","42,462.88","44,076.43","44,822.05","46,725.62","47,787.25","47,782.92","50,255.72","51,122.55","52,417.93","52,460.14","53,863.73","54,819.30","55,604.97","55,822.49","56,481.54","56,522.67","56,983.68","58,085.35","58,075.61","59,013.86","59,799.53","60,691.26","62,060.22","63,098.04","64,475.67","64,122.87","64,864.17","66,014.54","66,769.90","68,321.76","69,572.77","70,961.22","71,154.93","73,432.93","74,773.77","75,516.15","76,498.77","77,640.48","78,112.31","77,979.21","78,301.70","77,317.99","76,448.99","74,168.82","70,701.49","65,184.50","60,823.28","60,850.34","60,157.74","58,946.77","59,030.10","58,301.78","57,453.35","55,530.30","54,317.17","53,948.14","52,262.09","51,927.70","50,580.37","49,096.70","48,431.15","48,382.45","47,511.29","48,053.47","48,523.14","50,221.09","50,132.35","49,895.35","50,073.91","51,507.81","52,671.16","52,729.60","53,166.80","53,271.78","53,639.72","53,516.35","54,597.46","56,070.31","56,483.71","58,010.68","59,118.84","59,164.29","61,453.12","61,690.11","61,908.72","63,511.44","63,566.63","64,345.80","63,787.39","61,689.03","49,817.43","59,905.59","59,029.01","57,910.03","58,540.95","58,086.43","58,023.66","59,999.74","61,862.18","61,487.75","59,179.44"
Spain,"National Accounts, Expenditure, Gross Domestic Product, External Balance of Goods and Services, Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"32,281.67","32,371.86","33,020.70","33,334.53","33,813.11","34,425.13","36,142.47","36,200.46","37,384.93","38,146.96","40,352.09","42,816.74","42,202.88","44,333.46","45,520.69","48,929.61","48,307.46","50,956.19","52,009.05","54,489.35","55,074.68","56,249.03","56,678.83","57,452.83","58,548.95","58,964.02","58,470.72","57,713.28","59,668.08","59,123.24","60,583.81","62,915.94","61,470.09","63,518.76","65,028.11","66,890.86","68,783.99","69,869.07","70,803.21","72,288.63","72,941.15","75,950.64","76,046.36","76,415.41","78,930.69","81,064.94","81,302.39","84,807.03","87,071.97","87,847.81","88,945.77","89,111.43","88,735.94","85,796.39","82,619.39","76,382.28","65,664.98","66,422.41","70,270.33","70,131.36","70,393.66","72,375.14","72,430.36","74,180.84","74,058.43","71,693.17","71,866.20","70,053.14","69,294.78","67,778.99","67,574.67","66,235.59","65,817.75","67,007.75","68,278.73","69,199.99","70,687.25","71,695.01","73,147.30","73,154.66","74,479.03","75,072.64","77,123.15","76,665.74","76,393.32","78,209.14","77,572.27","79,202.19","81,462.53","81,566.53","83,763.37","85,719.08","86,095.49","86,990.98","86,187.53","86,274.04","87,168.61","87,180.57","89,105.91","86,544.62","82,761.12","60,024.25","75,935.00","79,293.30","79,693.64","84,506.08","86,825.32","88,484.68","89,357.16","91,554.92","94,403.36","90,431.19"
Spain,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"104,418.02","105,350.77","105,635.15","106,481.64","106,539.46","107,848.54","108,824.90","109,012.58","109,554.79","109,512.14","110,371.90","115,013.86","113,258.31","114,742.75","115,775.04","120,271.02","118,465.23","120,731.71","122,362.13","124,752.78","126,410.69","126,223.95","127,214.53","128,037.32","129,969.18","131,243.18","132,810.09","133,547.57","134,634.84","135,478.48","136,173.31","137,514.61","137,004.63","138,344.04","139,753.60","141,565.07","143,106.39","143,786.99","145,360.54","146,998.54","148,024.19","150,687.84","151,483.15","152,998.87","154,467.20","156,100.46","157,582.06","159,079.77","160,291.21","161,577.54","162,606.98","164,044.97","163,967.24","162,490.38","160,076.98","157,432.29","155,773.43","154,532.60","155,287.15","155,237.86","156,107.10","156,600.96","155,103.25","155,313.69","153,784.70","152,240.54","151,630.08","150,128.57","150,175.02","147,900.96","145,547.28","143,992.69","142,173.64","142,465.59","142,476.97","143,530.11","143,732.96","144,674.25","145,521.69","146,358.70","147,642.18","148,544.60","150,336.17","150,869.84","151,497.37","153,142.01","154,245.38","154,598.01","156,228.43","157,472.10","158,664.58","159,670.32","160,252.35","160,830.58","160,706.40","160,958.55","160,751.90","159,458.94","165,269.68","164,218.44","153,870.96","121,740.29","147,421.32","147,154.95","146,988.12","150,166.49","153,312.63","153,772.37","154,173.34","157,713.82","160,468.47","157,693.91"
