DATE,NAEXKP07MXQ661S
1980-01-01,13.6820082462323
1980-04-01,14.1045671497345
1980-07-01,14.5553362736954
1980-10-01,13.9480975867034
1981-01-01,18.8828076477241
1981-04-01,16.5758287069503
1981-07-01,15.1015900032551
1981-10-01,16.3506620538533
1982-01-01,16.3125880834495
1982-04-01,11.8655833801443
1982-07-01,8.9243273543297
1982-10-01,5.92970782720317
1983-01-01,6.05628837386572
1983-04-01,6.67776042095702
1983-07-01,6.82793147097139
1983-10-01,7.55237936612714
1984-01-01,7.77433598440938
1984-04-01,7.62367288975605
1984-07-01,8.45558691199175
1984-10-01,8.2653894535373
1985-01-01,10.1779454542574
1985-04-01,9.31705218450997
1985-07-01,8.6136194476345
1985-10-01,7.98353281178491
1986-01-01,9.56159161145243
1986-04-01,8.71260454087385
1986-07-01,7.71755541484455
1986-10-01,7.35899556997343
1987-01-01,7.99849984788648
1987-04-01,8.16557039567576
1987-07-01,8.53667399367744
1987-10-01,9.85884231735653
1988-01-01,10.3886753926208
1988-04-01,11.543221365504
1988-07-01,12.7102030511677
1988-10-01,12.6016442735152
1989-01-01,13.5806134194533
1989-04-01,13.9477537439087
1989-07-01,13.6083010175946
1989-10-01,14.8179628071932
1990-01-01,15.4365512818433
1990-04-01,15.4708007986686
1990-07-01,17.7279922568512
1990-10-01,18.2293037839852
1991-01-01,17.6417754662033
1991-04-01,18.9510292053316
1991-07-01,19.7401706911266
1991-10-01,20.7509032102984
1992-01-01,22.5445056791672
1992-04-01,23.2132326787716
1992-07-01,23.161573698656
1992-10-01,23.476333759421
1993-01-01,23.8225878106227
1993-04-01,24.849796214547
1993-07-01,25.3814395122293
1993-10-01,26.5938732870364
1994-01-01,28.3173778936683
1994-04-01,29.48370579278
1994-07-01,30.1260661251233
1994-10-01,30.852006058754
1995-01-01,23.4932483365475
1995-04-01,24.1809267328534
1995-07-01,24.8617804004211
1995-10-01,25.4336636088939
1996-01-01,26.5995814252478
1996-04-01,27.7465334887239
1996-07-01,29.3969495672424
1996-10-01,31.41554179593
1997-01-01,31.9074416725912
1997-04-01,34.4598940709499
1997-07-01,37.4274719002441
1997-10-01,38.9253225963287
1998-01-01,40.6961485005068
1998-04-01,40.7850895775577
1998-07-01,40.3664693059676
1998-10-01,41.7494898304351
1999-01-01,42.3643524703229
1999-04-01,45.0749551346326
1999-07-01,46.7727008893499
1999-10-01,48.544996873553
2000-01-01,51.6781968076682
2000-04-01,53.7514338855597
2000-07-01,57.1334547970437
2000-10-01,57.8654582777736
2001-01-01,56.7162076130909
2001-04-01,55.8455834715865
2001-07-01,53.7186853983092
2001-10-01,54.7235318791179
2002-01-01,56.1639046839784
2002-04-01,57.3413298385737
2002-07-01,57.649788824989
2002-10-01,57.5163322646642
2003-01-01,57.6729974517672
2003-04-01,58.1551491969455
2003-07-01,59.6148541282283
2003-10-01,60.194279468905
2004-01-01,61.1136719438122
2004-04-01,62.533610398412
2004-07-01,62.8599011922186
2004-10-01,64.7803848449632
2005-01-01,64.879200411396
2005-04-01,65.431338077617
2005-07-01,66.0761005892446
2005-10-01,70.6676973963843
2006-01-01,71.6787216796928
2006-04-01,72.4996895459891
2006-07-01,72.0701640038476
2006-10-01,71.7852306767998
2007-01-01,73.5170430222146
2007-04-01,75.696925178487
2007-07-01,77.3651915112248
2007-10-01,77.7500006203464
2008-01-01,78.831048810222
2008-04-01,79.8888061958611
2008-07-01,82.3055756683983
2008-10-01,74.0128032740604
2009-01-01,63.0785805352128
2009-04-01,61.2108881874898
2009-07-01,67.876547662898
2009-10-01,71.8990436638814
2010-01-01,74.7558029262534
2010-04-01,77.0171840540051
2010-07-01,78.0535776106083
2010-10-01,79.7143953095513
2011-01-01,81.1480017259224
2011-04-01,81.7010903290046
2011-07-01,83.1012708745071
2011-10-01,83.0348284339799
2012-01-01,85.3269358973432
2012-04-01,85.6773385803699
2012-07-01,86.1098719094378
2012-10-01,89.0129495940422
2013-01-01,89.618114972018
2013-04-01,90.1376214751138
2013-07-01,90.1694905371319
2013-10-01,90.0140014186463
2014-01-01,92.4477806366564
2014-04-01,94.8781810508819
2014-07-01,95.86172847918
2014-10-01,98.129951472256
2015-01-01,97.8575488858879
2015-04-01,99.9703698455976
2015-07-01,101.536316358194
2015-10-01,101.032495980315
2016-01-01,99.9460230782598
2016-04-01,101.616768170479
2016-07-01,103.067269950495
2016-10-01,104.332897745844
2017-01-01,107.577012101427
2017-04-01,107.835519330078
2017-07-01,108.107039342035
2017-10-01,110.174774323016
2018-01-01,114.038229760106
2018-04-01,112.92257896413
2018-07-01,113.847745698496
2018-10-01,117.043488482641
2019-01-01,113.676873132187
2019-04-01,113.314831581012
2019-07-01,113.780370503589
2019-10-01,112.30066341801
2020-01-01,109.707824970905
2020-04-01,82.3490856558746
2020-07-01,96.2998130047536
2020-10-01,109.211949187897
2021-01-01,113.547864785969
2021-04-01,111.995245284892
2021-07-01,114.962177348776
2021-10-01,118.449854427748
2022-01-01,119.774054062947
2022-04-01,123.693897338882
2022-07-01,127.6832371145
2022-10-01,125.795541244773
2023-01-01,132.146847713591
2023-04-01,133.07905432073
2023-07-01,129.989491053803
