DATE,LCEAMN01MXM661S
1980-01-01,0.0603565610449587
1980-02-01,0.0610797795491462
1980-03-01,0.062575426713968
1980-04-01,0.0633098581669983
1980-05-01,0.0646113929953297
1980-06-01,0.066333452284026
1980-07-01,0.0679297382778184
1980-08-01,0.0691362337601448
1980-09-01,0.0718316531316839
1980-10-01,0.0732254781138646
1980-11-01,0.0749970645762753
1980-12-01,0.0770408468474314
1981-01-01,0.078823092047876
1981-02-01,0.0809002891720279
1981-03-01,0.0816390067106415
1981-04-01,0.0854999424843366
1981-05-01,0.087691974021989
1981-06-01,0.08959245143424
1981-07-01,0.0922020122045884
1981-08-01,0.0937879241787181
1981-09-01,0.09649838931262
1981-10-01,0.0988767876729261
1981-11-01,0.10168654940657
1981-12-01,0.104224079053817
1982-01-01,0.107267062018672
1982-02-01,0.110776433041977
1982-03-01,0.117227563696025
1982-04-01,0.135409313449349
1982-05-01,0.148997209443889
1982-06-01,0.144975378991574
1982-07-01,0.145279680044978
1982-08-01,0.15436080847851
1982-09-01,0.156251068515074
1982-10-01,0.162781796291917
1982-11-01,0.16931276486318
1982-12-01,0.164237973183244
1983-01-01,0.181338020191381
1983-02-01,0.188999562016908
1983-03-01,0.194074447879422
1983-04-01,0.197905747117092
1983-05-01,0.207903491038778
1983-06-01,0.215616305732259
1983-07-01,0.228143661661915
1983-08-01,0.233676499632934
1983-09-01,0.243654524606956
1983-10-01,0.252113491266961
1983-11-01,0.260694989813678
1983-12-01,0.249373311394748
1984-01-01,0.27966292285897
1984-02-01,0.286992269654327
1984-03-01,0.292759788367558
1984-04-01,0.314931160475011
1984-05-01,0.317292073014333
1984-06-01,0.331028442635645
1984-07-01,0.347064579028928
1984-08-01,0.36277694102376
1984-09-01,0.375649371444643
1984-10-01,0.386712223690741
1984-11-01,0.399090093147428
1984-12-01,0.415162048584497
1985-01-01,0.433510497735748
1985-02-01,0.45366723353847
1985-03-01,0.477597803405239
1985-04-01,0.484711876397086
1985-05-01,0.512845627531402
1985-06-01,0.5270291080946
1985-07-01,0.554002317509054
1985-08-01,0.572024664490839
1985-09-01,0.59693490499824
1985-10-01,0.621416804976982
1985-11-01,0.638402474003117
1985-12-01,0.670522506678034
1986-01-01,0.694771210505839
1986-02-01,0.729432465143638
1986-03-01,0.762993405555115
1986-04-01,0.806932957958793
1986-05-01,0.782004788398813
1986-06-01,0.901983511393899
1986-07-01,0.95242366033387
1986-08-01,1.01683310072041
1986-09-01,1.06902620601534
1986-10-01,1.07903169283379
1986-11-01,1.25431485181637
1986-12-01,1.31650687846298
1987-01-01,1.41811032852457
1987-02-01,1.50550037519606
1987-03-01,1.50062883359935
1987-04-01,1.72479163355851
1987-05-01,1.83372210462138
1987-06-01,1.9493921257904
1987-07-01,2.06761897464705
1987-08-01,2.33945975601331
1987-09-01,2.51768346888356
1987-10-01,2.88331504997662
1987-11-01,3.06955376360132
1987-12-01,3.25996405619134
1988-01-01,3.81660660160761
1988-02-01,4.02092264855419
1988-03-01,4.23393582628215
1988-04-01,4.33426852668687
1988-05-01,4.45548072509897
1988-06-01,4.59805164841038
1988-07-01,4.71560635256733
1988-08-01,4.81949271463243
1988-09-01,4.89634147273044
1988-10-01,5.0330251937483
1988-11-01,5.1298138769372
1988-12-01,5.17010045207616
1989-01-01,5.35628841462261
1989-02-01,5.44686504450116
1989-03-01,5.51745196164281
1989-04-01,5.62321894044071
1989-05-01,5.81237560137934
1989-06-01,5.88436462881323
1989-07-01,5.99779287318201
