DATE,NAEXKP03MXQ661S
1980-01-01,46.7494551231571
1980-04-01,50.5690459498888
1980-07-01,51.143276939697
1980-10-01,52.0800900649378
1981-01-01,50.8800757135388
1981-04-01,51.9790834192098
1981-07-01,63.3349661814216
1981-10-01,56.6179748234008
1982-01-01,56.3935218316811
1982-04-01,56.2888550589834
1982-07-01,58.0869790402159
1982-10-01,54.1052208837904
1983-01-01,56.9238644684527
1983-04-01,55.0374353135077
1983-07-01,55.8922706934873
1983-10-01,59.7809532944137
1984-01-01,61.3816114795078
1984-04-01,60.5437081350382
1984-07-01,61.5246442223393
1984-10-01,60.4756648442673
1985-01-01,60.3873361337436
1985-04-01,64.5338972077839
1985-07-01,60.0153163534814
1985-10-01,61.4063117834968
1986-01-01,61.1205628220926
1986-04-01,61.4835983162454
1986-07-01,63.40721374782
1986-10-01,63.5414015913717
1987-01-01,63.0265407761142
1987-04-01,62.0870511282603
1987-07-01,60.3368677594781
1987-10-01,60.2241030501088
1988-01-01,61.0929553653086
1988-04-01,61.2871760363465
1988-07-01,59.7362119561332
1988-10-01,60.8084313369936
1989-01-01,61.4209658428734
1989-04-01,61.8522684822303
1989-07-01,62.1078789645244
1989-10-01,62.8473980817808
1990-01-01,62.0158163579779
1990-04-01,64.7413342058447
1990-07-01,64.4518846158152
1990-10-01,65.1477993959841
1991-01-01,67.232729966758
1991-04-01,68.3757936208068
1991-07-01,71.9481296096198
1991-10-01,64.2800399122473
1992-01-01,67.840636789137
1992-04-01,68.2685990862938
1992-07-01,69.2858679096749
1992-10-01,70.0173572043646
1993-01-01,67.4108943419946
1993-04-01,67.699251012477
1993-07-01,67.8506634319494
1993-10-01,68.4899660871827
1994-01-01,69.5769643172164
1994-04-01,70.0261171699817
1994-07-01,69.6886784174794
1994-10-01,69.9312621574353
1995-01-01,69.4478425593249
1995-04-01,68.9937299670884
1995-07-01,69.4501281705007
1995-10-01,68.8588869219689
1996-01-01,68.637863617247
1996-04-01,68.8515045933878
1996-07-01,69.3494192677234
1996-10-01,70.2088940131903
1997-01-01,71.6847537433659
1997-04-01,72.6700388109748
1997-07-01,73.1454031154247
1997-10-01,73.9107231083493
1998-01-01,73.0596761451533
1998-04-01,73.5292824981289
1998-07-01,74.291734975313
1998-10-01,75.1279695442658
1999-01-01,76.6968490227112
1999-04-01,77.7671990521982
1999-07-01,78.1560148285017
1999-10-01,78.6929698401389
2000-01-01,80.2705396354429
2000-04-01,80.1776344871406
2000-07-01,80.0767784240671
2000-10-01,80.0564984498887
2001-01-01,77.8522809717742
2001-04-01,77.9334454308402
2001-07-01,78.3662583027686
2001-10-01,78.4106074448477
2002-01-01,78.137808029681
2002-04-01,77.90413083659
2002-07-01,78.775327339069
2002-10-01,78.5578454830721
2003-01-01,78.81769870252
2003-04-01,79.1982867044688
2003-07-01,77.7768786842491
2003-10-01,77.7267319840177
2004-01-01,77.8419652324714
2004-04-01,77.9266685075603
2004-07-01,77.2897743487382
2004-10-01,77.9462004459374
2005-01-01,78.3397755279177
2005-04-01,78.7451386490533
2005-07-01,80.104213849864
2005-10-01,81.185892860461
2006-01-01,82.0556319301102
2006-04-01,82.051750862833
2006-07-01,81.343622990303
2006-10-01,80.8969016700911
2007-01-01,81.7574753750436
2007-04-01,82.9607326781048
2007-07-01,83.6288827004236
2007-10-01,84.0650047238455
2008-01-01,83.6307108022021
2008-04-01,85.463612112629
2008-07-01,85.7503209052681
2008-10-01,86.7150303230391
2009-01-01,86.9181161775801
2009-04-01,87.8298785519953
2009-07-01,88.2927520794487
2009-10-01,88.4810287919076
2010-01-01,88.477011056426
2010-04-01,89.6459296020004
2010-07-01,90.3450769022811
2010-10-01,90.1830766847316
2011-01-01,90.9380243739775
2011-04-01,91.624128417013
2011-07-01,93.2941904522906
2011-10-01,94.1085883071688
2012-01-01,95.2189896702245
2012-04-01,95.7799193435053
2012-07-01,95.0107048487803
2012-10-01,95.2025051617936
2013-01-01,94.7504446832992
2013-04-01,94.9450703113892
2013-07-01,96.7979349748681
2013-10-01,97.6946631886165
2014-01-01,97.1912795792786
2014-04-01,97.2830061288612
2014-07-01,99.3929578163567
2014-10-01,99.346224801373
2015-01-01,100.493977739574
2015-04-01,100.080246768853
2015-07-01,99.7275438814252
2015-10-01,99.8822871334661
2016-01-01,100.405312402907
2016-04-01,101.372120703596
2016-07-01,102.785100012356
2016-10-01,103.107197894413
2017-01-01,101.819170027499
2017-04-01,101.571400948744
2017-07-01,102.039529581598
2017-10-01,103.719845990993
2018-01-01,105.583728086278
2018-04-01,105.949719962706
2018-07-01,105.364201666199
2018-10-01,104.835421813594
2019-01-01,104.355930051937
2019-04-01,103.107861064293
2019-07-01,102.943203250268
2019-10-01,103.912128165897
2020-01-01,103.725288095665
2020-04-01,102.955154013634
2020-07-01,102.387561204
2020-10-01,102.214303552888
2021-01-01,102.41510321551
2021-04-01,103.210163216348
2021-07-01,101.403704415918
2021-10-01,102.325989893632
2022-01-01,103.169388741498
2022-04-01,103.889129849516
2022-07-01,103.949416014168
2022-10-01,103.050082703118
2023-01-01,104.459393690149
2023-04-01,105.72658151426
2023-07-01,106.220613340373
