DATE,NAEXKP02MXQ661S
1980-01-01,44.2301938819527
1980-04-01,45.0021118438198
1980-07-01,46.1013351653174
1980-10-01,47.2318517345426
1981-01-01,47.5839907100265
1981-04-01,48.3297296334119
1981-07-01,49.4902178438583
1981-10-01,49.8111567481694
1982-01-01,49.7247165343881
1982-04-01,49.0627914179163
1982-07-01,47.5670795247104
1982-10-01,47.0805846052778
1983-01-01,46.3283829283879
1983-04-01,46.2398402144998
1983-07-01,46.2433140275979
1983-10-01,46.4825936796554
1984-01-01,47.3397254311367
1984-04-01,47.3441225416772
1984-07-01,48.0668337465245
1984-10-01,47.6979593827952
1985-01-01,48.8923515164635
1985-04-01,49.1909910347034
1985-07-01,49.1447827746596
1985-10-01,48.9287736916497
1986-01-01,49.2217157144516
1986-04-01,48.2853406402971
1986-07-01,47.6220110161302
1986-10-01,46.8255465257054
1987-01-01,46.7561402402884
1987-04-01,48.0767318198665
1987-07-01,48.5429843021777
1987-10-01,48.8155876992039
1988-01-01,48.1167432537037
1988-04-01,48.0501219690305
1988-07-01,48.4022477939625
1988-10-01,50.1451931572076
1989-01-01,51.4347901592449
1989-04-01,52.0932447348538
1989-07-01,52.9912917964197
1989-10-01,52.3928592011942
1990-01-01,53.6728686773317
1990-04-01,55.1324850096055
1990-07-01,56.7047634138727
1990-10-01,56.8124756756334
1991-01-01,56.2272328854426
1991-04-01,57.6296117999532
1991-07-01,58.8985968281995
1991-10-01,59.991850736991
1992-01-01,57.9124516180715
1992-04-01,61.0334528924235
1992-07-01,61.950207589582
1992-10-01,62.8119695401731
1993-01-01,55.988017078099
1993-04-01,56.0899801523447
1993-07-01,56.2030083119786
1993-10-01,57.2747800921114
1994-01-01,57.6942325858698
1994-04-01,58.9813097928358
1994-07-01,60.0847449407457
1994-10-01,60.3091856337575
1995-01-01,56.7587462366213
1995-04-01,54.9866247261914
1995-07-01,55.301556147204
1995-10-01,55.7063321671024
1996-01-01,56.5402502865905
1996-04-01,56.7264276421383
1996-07-01,57.8259821864924
1996-10-01,59.205273201305
1997-01-01,60.0132108868298
1997-04-01,61.5368440983496
1997-07-01,62.645691673635
1997-10-01,64.064171920475
1998-01-01,65.6336413842024
1998-04-01,66.228874352937
1998-07-01,66.4965396826266
1998-10-01,66.9931036927537
1999-01-01,67.158730210269
1999-04-01,68.3666402133549
1999-07-01,69.977889359343
1999-10-01,71.1274264039499
2000-01-01,73.1433203811548
2000-04-01,74.4635527025375
2000-07-01,75.9868601053719
2000-10-01,76.7236038086742
2001-01-01,77.2287265921446
2001-04-01,77.1616256929114
2001-07-01,77.1999609006979
2001-10-01,77.6977315522662
2002-01-01,77.8625199162847
2002-04-01,78.8213317461169
2002-07-01,78.9095761827142
2002-10-01,78.7530668201338
2003-01-01,79.5008569616684
2003-04-01,80.0911707099684
2003-07-01,80.5341781256825
2003-10-01,80.938953577385
2004-01-01,81.0923638188238
2004-04-01,81.6969064834167
2004-07-01,82.2204144069369
2004-10-01,83.0857810645036
2005-01-01,83.0215656318461
2005-04-01,83.064662708548
2005-07-01,84.273523923198
2005-10-01,85.2300110570516
2006-01-01,86.713191046059
2006-04-01,87.7163084664979
2006-07-01,88.0881383712134
2006-10-01,88.2456020446083
2007-01-01,88.4834100365089
2007-04-01,88.9571422572511
2007-07-01,88.4140456514901
2007-10-01,89.0784390358346
2008-01-01,89.907448840375
2008-04-01,90.8639375238537
2008-07-01,90.3996294129592
2008-10-01,86.8013049913062
2009-01-01,82.6217117250159
2009-04-01,81.5543608575272
2009-07-01,83.4552696147702
2009-10-01,85.1075169993454
2010-01-01,85.3624184541752
2010-04-01,87.0237401852908
2010-07-01,87.2620258491404
2010-10-01,88.5918993570256
2011-01-01,90.355533280017
2011-04-01,90.6582396372872
2011-07-01,91.684029429425
2011-10-01,91.8526447864262
2012-01-01,91.4899334571353
2012-04-01,92.5139383393843
2012-07-01,93.5248350717218
2012-10-01,94.3979100812693
2013-01-01,95.1799548801944
2013-04-01,95.2578452381578
2013-07-01,95.6461413304599
2013-10-01,96.0218857174108
2014-01-01,96.3100372205672
2014-04-01,97.5160703693395
2014-07-01,97.6122673530124
2014-10-01,98.3032590843442
2015-01-01,98.9083798236815
2015-04-01,99.5952863557418
2015-07-01,100.462573579965
2015-10-01,101.27695285703
2016-01-01,101.481735625385
2016-04-01,101.036252296106
2016-07-01,101.880924872166
2016-10-01,103.003214728827
2017-01-01,103.387001734814
2017-04-01,103.798587789001
2017-07-01,103.887243780208
2017-10-01,104.01423614142
2018-01-01,105.491268638368
2018-04-01,104.865315642616
2018-07-01,105.369513041608
2018-10-01,105.37190146592
2019-01-01,105.878726964579
2019-04-01,106.293637674933
2019-07-01,106.787710985488
2019-10-01,106.983949701938
2020-01-01,103.86897918808
2020-04-01,83.1864641483849
2020-07-01,93.7508074142206
2020-10-01,99.1632775335839
2021-01-01,100.269586429029
2021-04-01,101.920382137688
2021-07-01,103.430210126255
2021-10-01,105.696365722354
2022-01-01,107.081023450601
2022-04-01,108.076893661673
2022-07-01,108.654832232752
2022-10-01,108.905646163873
2023-01-01,111.2932184408
2023-04-01,112.05140837491
2023-07-01,113.35514926273
