DATE,NAEXKP01MXQ661S
1980-01-01,44.7197842054567
1980-04-01,45.0115209237996
1980-07-01,45.9832137949536
1980-10-01,47.31482622054
1981-01-01,48.371353046297
1981-04-01,49.6247239081564
1981-07-01,49.8841413280161
1981-10-01,50.7778542729742
1982-01-01,49.7994727664157
1982-04-01,49.8753582611935
1982-07-01,49.5166524199577
1982-10-01,48.430143863338
1983-01-01,48.0720629531866
1983-04-01,47.105470926284
1983-07-01,47.4965135737775
1983-10-01,48.0429352737451
1984-01-01,49.3689750663794
1984-04-01,48.6423173980256
1984-07-01,49.8202177427681
1984-10-01,49.3811868113676
1985-01-01,50.2844240820593
1985-04-01,50.2408570706646
1985-07-01,50.555065673385
1985-10-01,50.4178104133436
1986-01-01,49.4456347616933
1986-04-01,49.2609455389623
1986-07-01,48.3258699223368
1986-10-01,48.1939291640945
1987-01-01,48.481876346373
1987-04-01,49.8084525183732
1987-07-01,49.861777871263
1987-10-01,50.4642709823614
1988-01-01,50.1233816889986
1988-04-01,49.9625594212335
1988-07-01,50.0242244553535
1988-10-01,51.0208223429798
1989-01-01,51.9767882070774
1989-04-01,51.996646219322
1989-07-01,52.9659281686568
1989-10-01,52.4988896212991
1990-01-01,53.6403440369022
1990-04-01,54.804233483741
1990-07-01,55.5518380707376
1990-10-01,56.2578763074683
1991-01-01,56.4129276655304
1991-04-01,57.2761728387285
1991-07-01,57.3826740290792
1991-10-01,58.419102344613
1992-01-01,58.4139957174907
1992-04-01,59.3718837230018
1992-07-01,59.9231979922285
1992-10-01,59.9731184929596
1993-01-01,60.3445233445852
1993-04-01,60.3663234776984
1993-07-01,61.0676360127268
1993-10-01,61.4499292622994
1994-01-01,62.0603246112553
1994-04-01,63.474692264835
1994-07-01,63.8316924677563
1994-10-01,64.5180576624953
1995-01-01,61.5482437475629
1995-04-01,57.8402787072567
1995-07-01,59.074154391373
1995-10-01,60.4251017018907
1996-01-01,61.8326874232321
1996-04-01,62.5007763649396
1996-07-01,63.4174569552216
1996-10-01,65.4260404458819
1997-01-01,65.6677279658454
1997-04-01,67.1903106338802
1997-07-01,68.6117289724594
1997-10-01,70.5427809079438
1998-01-01,71.617122492225
1998-04-01,72.143703460519
1998-07-01,72.5046874092761
1998-10-01,72.6276581483025
1999-01-01,73.2557703630934
1999-04-01,73.8040824888289
1999-07-01,74.5087044751293
1999-10-01,75.2478616538048
2000-01-01,76.812324348577
2000-04-01,77.777491118305
2000-07-01,78.6385783265194
2000-10-01,77.7442207364681
2001-01-01,78.2299382635978
2001-04-01,77.6584144313516
2001-07-01,77.5044317885148
2001-10-01,76.8284940355842
2002-01-01,76.364525440457
2002-04-01,77.1454400691167
2002-07-01,77.8989197478546
2002-10-01,78.0616960420864
2003-01-01,78.0124196122863
2003-04-01,78.1497963357341
2003-07-01,78.1752492958859
2003-10-01,78.8866897111611
2004-01-01,79.9315605437599
2004-04-01,81.0077421350361
2004-07-01,80.9401650276799
2004-10-01,81.8063470373366
2005-01-01,82.0068665905836
2005-04-01,81.972868996095
2005-07-01,82.8371783419191
2005-10-01,84.3717556631731
2006-01-01,86.0135820762394
2006-04-01,86.7797802054699
2006-07-01,86.9927473177187
2006-10-01,87.2982140496458
2007-01-01,87.8966767791559
2007-04-01,88.4977537055322
2007-07-01,88.8155045985559
2007-10-01,89.0239519316118
2008-01-01,89.0655917965399
2008-04-01,89.6364022413646
2008-07-01,89.7517567306917
2008-10-01,88.3090196927729
2009-01-01,82.8428110807856
2009-04-01,81.5138262025312
2009-07-01,84.4447174620968
2009-10-01,86.2643523380651
2010-01-01,86.6059427208449
2010-04-01,87.6393702007605
2010-07-01,88.4120870225629
2010-10-01,89.1267098380211
2011-01-01,89.7193730998131
2011-04-01,90.1134298815821
2011-07-01,91.7173963076597
2011-10-01,92.3782521783496
2012-01-01,93.2711863286588
2012-04-01,93.9109874530036
2012-07-01,94.0764807684123
2012-10-01,94.8113976985133
2013-01-01,94.925086533067
2013-04-01,94.5092036804727
2013-07-01,95.1008053990449
2013-10-01,95.5719843272114
2014-01-01,96.183790904797
2014-04-01,97.4593163971931
2014-07-01,97.5960878495096
2014-10-01,98.4256101538614
2015-01-01,98.8832155738696
2015-04-01,99.794436814307
2015-07-01,100.954588341357
2015-10-01,100.638266531614
2016-01-01,100.622630006022
2016-04-01,100.942219870225
2016-07-01,101.881608214028
2016-10-01,102.98527971037
2017-01-01,103.64884721066
2017-04-01,103.745254074972
2017-07-01,103.117794298875
2017-10-01,104.448240521058
2018-01-01,105.892425578184
2018-04-01,105.430177757907
2018-07-01,105.96540351817
2018-10-01,105.80316652721
2019-01-01,105.938308255073
2019-04-01,105.797899349696
2019-07-01,105.589579062446
2019-10-01,104.734050575529
2020-01-01,103.489452647185
2020-04-01,83.7951534572732
2020-07-01,96.6885321013918
2020-10-01,100.860870573276
2021-01-01,101.33464712767
2021-04-01,102.039473389259
2021-07-01,101.637701623762
2021-10-01,102.773903837759
2022-01-01,104.367784185656
2022-04-01,105.403264545204
2022-07-01,106.687859556549
2022-10-01,107.410850785765
2023-01-01,108.02342510996
2023-04-01,109.033047856689
2023-07-01,110.199837078806
