DATE,MEXCPIALLMINMEI
1969-01-01,0.0132278813374333
1969-02-01,0.013275357877077
1969-03-01,0.0132884607642783
1969-04-01,0.0133244774494068
1969-05-01,0.0133244774494068
1969-06-01,0.0133719599001537
1969-07-01,0.0134227165940666
1969-08-01,0.0134374566028521
1969-09-01,0.0135635268230072
1969-10-01,0.0137059741743887
1969-11-01,0.0137076112959729
1969-12-01,0.0138107618070987
1970-01-01,0.0139155494398076
1970-02-01,0.0139139123182245
1970-03-01,0.0139548462800644
1970-04-01,0.0139728546226286
1970-05-01,0.0140023287299533
1970-06-01,0.0140874708985137
1970-07-01,0.01415623593585
1970-08-01,0.01422172672916
1970-09-01,0.0142561122029507
1970-10-01,0.0142610235685589
1970-11-01,0.0143379801266292
1970-12-01,0.0144591389803194
1971-01-01,0.0146015863317009
1971-02-01,0.0146621657585459
1971-03-01,0.014717833818926
1971-04-01,0.0147931532545555
1971-05-01,0.0148242644843211
1971-06-01,0.0148913923992152
1971-07-01,0.0148799325447012
1971-08-01,0.0150158254969305
1971-09-01,0.0150649450692604
1971-10-01,0.0150796850780459
1971-11-01,0.015104241909516
1971-12-01,0.0151762871011215
1972-01-01,0.0152434150160156
1972-02-01,0.0152908974667625
1972-03-01,0.0153744025128831
1972-04-01,0.015471004535102
1972-05-01,0.0155021098546223
1972-06-01,0.0156167202202633
1972-07-01,0.0156756684349115
1972-08-01,0.0157788189460374
1972-09-01,0.0158508582273976
1972-10-01,0.0158623180819128
1972-11-01,0.0159654685930386
1972-12-01,0.0160195054420787
1973-01-01,0.0162520004173858
1973-02-01,0.0163862621574193
1973-03-01,0.016530346630385
1973-04-01,0.0167923157130157
1973-05-01,0.016970785659771
1973-06-01,0.0171099528560253
1973-07-01,0.0175487547638282
1973-08-01,0.0178303752217094
1973-09-01,0.01825443711987
1973-10-01,0.0184885751270042
1973-11-01,0.0187161646460906
1973-12-01,0.0194431295887217
1974-01-01,0.0201389892126892
1974-02-01,0.0205941623406143
1974-03-01,0.0207529868223643
1974-04-01,0.0210346013700014
1974-05-01,0.0211999743398005
1974-06-01,0.0214095496060762
1974-07-01,0.0217190011394537
1974-08-01,0.021948227780123
1974-09-01,0.0221970998866544
1974-10-01,0.0226375330057962
1974-11-01,0.0232662647140116
1974-12-01,0.0234480089047921
1975-01-01,0.0237476377052374
1975-02-01,0.0238786192910018
1975-03-01,0.0240292522528733
1975-04-01,0.0242322790302431
1975-05-01,0.024556470572405
1975-06-01,0.0249739839825165
1975-07-01,0.0251737365158612
1975-08-01,0.0253915033028721
