country,Date,C,X,GDP,M,I,Q,Y,time,population,log_population,TB,TBGDP,IGDP,C_growth,GDP_growth,I_growth,C_cycle,GDP_cycle,I_cycle,TBGDP_cycle,C_linear_cycle,GDP_linear_cycle,I_linear_cycle,TBGDP_linear_cycle
Mexico,Q3 1996,-4.013894100633217,0.006203432999321972,-3.524730911180995,0.004997729365932222,-5.232880255983191,3,1996,1996-07-01,90774463.11768785,18.323888560817966,0.0012057036333897493,0.040927173689692765,0.18120082275334431,,,,-0.03141796840898703,-0.02113350083056309,-0.05651387495773719,0.023644356809568494,,,,
Mexico,Q4 1996,-3.983658186181219,0.006356575979959398,-3.490525252155434,0.005516563166489945,-5.166685523289186,4,1996,1996-10-01,90371121.4671376,18.31943532152934,0.0008400128134694535,0.027555085742735273,0.1870909772393015,,,,-0.007106253622112035,0.008079207989777792,0.003799134113630309,0.010846804118686808,,,,
Mexico,Q1 1997,-4.0057854116894935,0.0063375229845877455,-3.519382841918026,0.005360964940700513,-5.225985983947486,1,1997,1997-01-01,93183093.99999993,18.350076868351998,0.0009765580438872322,0.03297210009588496,0.18148121268188855,,,,-0.03574554764552662,-0.02605301586982245,-0.06278648003599674,0.017245680173543776,,,,
Mexico,Q2 1997,-3.973812151254464,0.006518529607464311,-3.4924531073760656,0.005821222585720891,-5.155465636304158,2,1997,1997-04-01,92781368.86997506,18.345756411112802,0.0006973070217434199,0.022918023020432547,0.18956704284491516,,,,-0.010811053608189791,-0.004599059814580642,-0.0006600727778005577,0.008548152067323959,,,,
Mexico,Q3 1997,-3.9551012851319274,0.006777707040136653,-3.46922312399862,0.006435148815782142,-5.104546750877879,3,1997,1997-07-01,92381375.6322191,18.341435953873606,0.0003425582243545104,0.011000156350575952,0.19488928967965927,,,,0.0004178601688447081,0.013050823323431882,0.0410899698944549,-0.0016818960939893515,,,,
Mexico,Q4 1997,-3.9256219004414676,0.006916726581576457,-3.4404108024193545,0.006724181443537152,-5.078561241174054,4,1997,1997-10-01,91983106.8203064,18.33711549663441,0.0001925451380393045,0.006007364498585233,0.1943391522550385,,,,0.02206237540924061,0.036278419959933306,0.057466031545764906,-0.0047043602213828,,,,
Mexico,Q1 1998,-3.940279949554758,0.006925548272545206,-3.461077218922179,0.006748433351746167,-5.089929094397196,1,1998,1998-01-01,94767283.99999987,18.366934802177415,0.00017711492079903936,0.005641334956292248,0.1961546548617648,,,,-0.000693452578034659,0.010114194095817819,0.03635674081082829,-0.0028652619612224844,,,,
Mexico,Q2 1998,-3.9220361677587636,0.006984509645897488,-3.4497030496810863,0.006884563402359822,-5.0640574810013055,2,1998,1998-04-01,94368729.29041609,18.36272031872106,9.994624353766579e-05,0.003147411117704687,0.1990191094820073,,,,0.009265859616066408,0.01614633582942604,0.05262762680515021,-0.002964026832560316,,,,
Mexico,Q3 1998,-3.9106764955680484,0.006827909580255893,-3.440325099678193,0.0068497682537164975,-5.038619693757363,3,1998,1998-07-01,93971850.74849121,18.358505835264708,-2.185867346060459e-05,-0.0006819271931091727,0.20224112727767207,,,,0.012231023580851819,0.020400585079661138,0.06885537336424008,-0.0042511531356618495,,,,
Mexico,Q4 1998,-3.903628682905295,0.0072741860614183975,-3.4347761368289857,0.007046001979390266,-5.034824050497433,4,1998,1998-10-01,93576641.32490875,18.354291351808353,0.00022818408202813188,0.007079289420721472,0.20188684462357667,,,,0.010845150335254683,0.021096627372165777,0.06404874699577601,0.006158202918780234,,,,
